layer,norm_depth,act_type,knockout_type,stimulus_set,accuracy_drop,n_changed,n_total,is_critical
24,0.5952,m,random,setb,0.125,12,96,false
25,0.619,m,random,setb,0.15625,15,96,false
26,0.6429,m,random,setb,0.11458333333333333,11,96,false
27,0.6667,m,random,setb,0.13541666666666666,13,96,false
28,0.6905,m,random,setb,0.21875,21,96,true
29,0.7143,m,random,setb,0.16666666666666666,16,96,false
30,0.7381,m,random,setb,0.23958333333333334,23,96,true
31,0.7619,m,random,setb,0.1875,18,96,false
32,0.7857,m,random,setb,0.17708333333333334,17,96,false
33,0.8095,m,random,setb,0.15625,15,96,false
34,0.8333,m,random,setb,0.13541666666666666,13,96,false
35,0.8571,m,random,setb,0.16666666666666666,16,96,false
36,0.881,m,random,setb,0.16666666666666666,16,96,false
37,0.9048,m,random,setb,0.15625,15,96,false
38,0.9286,m,random,setb,0.19791666666666666,19,96,false
39,0.9524,m,random,setb,0.15625,15,96,false
40,0.9762,m,random,setb,0.19791666666666666,19,96,false
41,1.0,m,random,setb,0.17708333333333334,17,96,false
