id,domain,condition,layer,norm_depth,p_emotional
setb_neu_008,neutral_control,B_neutral,1,0.125,5e-6
setb_neu_008,neutral_control,B_neutral,2,0.1875,0.000172
setb_neu_008,neutral_control,B_neutral,3,0.25,0.00005
setb_neu_008,neutral_control,B_neutral,4,0.3125,0.000019
setb_neu_008,neutral_control,B_neutral,5,0.375,7e-6
setb_neu_008,neutral_control,B_neutral,6,0.4375,8e-6
setb_neu_008,neutral_control,B_neutral,7,0.5,0.000046
setb_neu_008,neutral_control,B_neutral,8,0.5625,0.000018
setb_neu_008,neutral_control,B_neutral,9,0.625,0.000132
setb_neu_008,neutral_control,B_neutral,10,0.6875,0.000229
setb_neu_008,neutral_control,B_neutral,11,0.75,0.000123
setb_neu_008,neutral_control,B_neutral,12,0.8125,0.000067
setb_neu_008,neutral_control,B_neutral,13,0.875,0.000084
setb_neu_008,neutral_control,B_neutral,14,0.9375,0.000075
setb_neu_008,neutral_control,B_neutral,15,1.0,0.000082
setb_neu_009,neutral_control,B_neutral,0,0.0625,0.001802
setb_neu_009,neutral_control,B_neutral,1,0.125,0.00031
setb_neu_009,neutral_control,B_neutral,2,0.1875,3e-6
setb_neu_009,neutral_control,B_neutral,3,0.25,0.000014
setb_neu_009,neutral_control,B_neutral,4,0.3125,0.000011
setb_neu_009,neutral_control,B_neutral,5,0.375,9e-6
setb_neu_009,neutral_control,B_neutral,6,0.4375,6e-6
setb_neu_009,neutral_control,B_neutral,7,0.5,5e-6
setb_neu_009,neutral_control,B_neutral,8,0.5625,0.000016
setb_neu_009,neutral_control,B_neutral,9,0.625,0.000012
setb_neu_009,neutral_control,B_neutral,10,0.6875,0.00003
setb_neu_009,neutral_control,B_neutral,11,0.75,0.00006
setb_neu_009,neutral_control,B_neutral,12,0.8125,0.000042
setb_neu_009,neutral_control,B_neutral,13,0.875,0.000034
setb_neu_009,neutral_control,B_neutral,14,0.9375,0.000034
setb_neu_009,neutral_control,B_neutral,15,1.0,0.000015
setb_neu_010,neutral_control,B_neutral,0,0.0625,0.0
setb_neu_010,neutral_control,B_neutral,1,0.125,0.0
setb_neu_010,neutral_control,B_neutral,2,0.1875,1e-6
setb_neu_010,neutral_control,B_neutral,3,0.25,2e-6
setb_neu_010,neutral_control,B_neutral,4,0.3125,1e-6
setb_neu_010,neutral_control,B_neutral,5,0.375,0.000023
setb_neu_010,neutral_control,B_neutral,6,0.4375,0.000082
setb_neu_010,neutral_control,B_neutral,7,0.5,0.000136
setb_neu_010,neutral_control,B_neutral,8,0.5625,0.000709
setb_neu_010,neutral_control,B_neutral,9,0.625,0.000481
setb_neu_010,neutral_control,B_neutral,10,0.6875,0.000466
setb_neu_010,neutral_control,B_neutral,11,0.75,0.000308
setb_neu_010,neutral_control,B_neutral,12,0.8125,0.000626
setb_neu_010,neutral_control,B_neutral,13,0.875,0.000332
setb_neu_010,neutral_control,B_neutral,14,0.9375,0.000335
setb_neu_010,neutral_control,B_neutral,15,1.0,0.000404
setb_neu_011,neutral_control,B_neutral,0,0.0625,0.003673
setb_neu_011,neutral_control,B_neutral,1,0.125,0.00118
setb_neu_011,neutral_control,B_neutral,2,0.1875,0.000494
setb_neu_011,neutral_control,B_neutral,3,0.25,0.000131
setb_neu_011,neutral_control,B_neutral,4,0.3125,0.000036
setb_neu_011,neutral_control,B_neutral,5,0.375,0.000041
setb_neu_011,neutral_control,B_neutral,6,0.4375,0.000018
setb_neu_011,neutral_control,B_neutral,7,0.5,0.000296
setb_neu_011,neutral_control,B_neutral,8,0.5625,0.001008
setb_neu_011,neutral_control,B_neutral,9,0.625,0.002988
setb_neu_011,neutral_control,B_neutral,10,0.6875,0.004242
setb_neu_011,neutral_control,B_neutral,11,0.75,0.002938
setb_neu_011,neutral_control,B_neutral,12,0.8125,0.001836
setb_neu_011,neutral_control,B_neutral,13,0.875,0.001783
setb_neu_011,neutral_control,B_neutral,14,0.9375,0.002133
setb_neu_011,neutral_control,B_neutral,15,1.0,0.001958
setb_neu_012,neutral_control,B_neutral,0,0.0625,0.001271
setb_neu_012,neutral_control,B_neutral,1,0.125,0.001064
setb_neu_012,neutral_control,B_neutral,2,0.1875,0.002858
setb_neu_012,neutral_control,B_neutral,3,0.25,0.000095
setb_neu_012,neutral_control,B_neutral,4,0.3125,6e-6
setb_neu_012,neutral_control,B_neutral,5,0.375,8e-6
setb_neu_012,neutral_control,B_neutral,6,0.4375,0.000015
setb_neu_012,neutral_control,B_neutral,7,0.5,7e-6
setb_neu_012,neutral_control,B_neutral,8,0.5625,7e-6
setb_neu_012,neutral_control,B_neutral,9,0.625,0.000107
setb_neu_012,neutral_control,B_neutral,10,0.6875,0.000017
setb_neu_012,neutral_control,B_neutral,11,0.75,0.000062
setb_neu_012,neutral_control,B_neutral,12,0.8125,0.000051
setb_neu_012,neutral_control,B_neutral,13,0.875,0.000097
setb_neu_012,neutral_control,B_neutral,14,0.9375,0.000075
setb_neu_012,neutral_control,B_neutral,15,1.0,0.000113
setb_neu_013,neutral_control,B_neutral,0,0.0625,0.002362
setb_neu_013,neutral_control,B_neutral,1,0.125,0.000348
setb_neu_013,neutral_control,B_neutral,2,0.1875,0.000156
setb_neu_013,neutral_control,B_neutral,3,0.25,0.000037
setb_neu_013,neutral_control,B_neutral,4,0.3125,0.000041
setb_neu_013,neutral_control,B_neutral,5,0.375,0.000014
setb_neu_013,neutral_control,B_neutral,6,0.4375,0.000034
setb_neu_013,neutral_control,B_neutral,7,0.5,0.000135
setb_neu_013,neutral_control,B_neutral,8,0.5625,0.000366
setb_neu_013,neutral_control,B_neutral,9,0.625,0.000415
setb_neu_013,neutral_control,B_neutral,10,0.6875,0.000857
setb_neu_013,neutral_control,B_neutral,11,0.75,0.001403
setb_neu_013,neutral_control,B_neutral,12,0.8125,0.001282
setb_neu_013,neutral_control,B_neutral,13,0.875,0.002185
setb_neu_013,neutral_control,B_neutral,14,0.9375,0.002481
setb_neu_013,neutral_control,B_neutral,15,1.0,0.002303
setb_neu_014,neutral_control,B_neutral,0,0.0625,0.0
setb_neu_014,neutral_control,B_neutral,1,0.125,0.00001
setb_neu_014,neutral_control,B_neutral,2,0.1875,0.000236
setb_neu_014,neutral_control,B_neutral,3,0.25,0.000058
setb_neu_014,neutral_control,B_neutral,4,0.3125,0.000036
setb_neu_014,neutral_control,B_neutral,5,0.375,0.000053
setb_neu_014,neutral_control,B_neutral,6,0.4375,0.000114
setb_neu_014,neutral_control,B_neutral,7,0.5,0.000036
setb_neu_014,neutral_control,B_neutral,8,0.5625,0.00045
setb_neu_014,neutral_control,B_neutral,9,0.625,0.000649
setb_neu_014,neutral_control,B_neutral,10,0.6875,0.000512
setb_neu_014,neutral_control,B_neutral,11,0.75,0.000306
setb_neu_014,neutral_control,B_neutral,12,0.8125,0.000425
setb_neu_014,neutral_control,B_neutral,13,0.875,0.000197
setb_neu_014,neutral_control,B_neutral,14,0.9375,0.000387
setb_neu_014,neutral_control,B_neutral,15,1.0,0.000254
setb_neu_015,neutral_control,B_neutral,0,0.0625,0.0
setb_neu_015,neutral_control,B_neutral,1,0.125,1e-6
setb_neu_015,neutral_control,B_neutral,2,0.1875,0.000015
setb_neu_015,neutral_control,B_neutral,3,0.25,0.00006
setb_neu_015,neutral_control,B_neutral,4,0.3125,0.00005
setb_neu_015,neutral_control,B_neutral,5,0.375,0.000152
setb_neu_015,neutral_control,B_neutral,6,0.4375,0.000289
setb_neu_015,neutral_control,B_neutral,7,0.5,0.000155
setb_neu_015,neutral_control,B_neutral,8,0.5625,6e-6
setb_neu_015,neutral_control,B_neutral,9,0.625,7e-6
setb_neu_015,neutral_control,B_neutral,10,0.6875,0.000013
setb_neu_015,neutral_control,B_neutral,11,0.75,0.000024
setb_neu_015,neutral_control,B_neutral,12,0.8125,0.000029
setb_neu_015,neutral_control,B_neutral,13,0.875,0.000029
setb_neu_015,neutral_control,B_neutral,14,0.9375,0.00004
setb_neu_015,neutral_control,B_neutral,15,1.0,0.000014
setb_neu_016,neutral_control,B_neutral,0,0.0625,0.00487
setb_neu_016,neutral_control,B_neutral,1,0.125,0.001945
setb_neu_016,neutral_control,B_neutral,2,0.1875,0.000127
setb_neu_016,neutral_control,B_neutral,3,0.25,0.000346
setb_neu_016,neutral_control,B_neutral,4,0.3125,0.000683
setb_neu_016,neutral_control,B_neutral,5,0.375,0.000713
setb_neu_016,neutral_control,B_neutral,6,0.4375,0.000181
setb_neu_016,neutral_control,B_neutral,7,0.5,0.000053
setb_neu_016,neutral_control,B_neutral,8,0.5625,0.000136
setb_neu_016,neutral_control,B_neutral,9,0.625,0.000749
setb_neu_016,neutral_control,B_neutral,10,0.6875,0.00037
setb_neu_016,neutral_control,B_neutral,11,0.75,0.00082
setb_neu_016,neutral_control,B_neutral,12,0.8125,0.000688
setb_neu_016,neutral_control,B_neutral,13,0.875,0.000503
setb_neu_016,neutral_control,B_neutral,14,0.9375,0.000565
setb_neu_016,neutral_control,B_neutral,15,1.0,0.00083
setb_neu_017,neutral_control,B_neutral,0,0.0625,0.006816
setb_neu_017,neutral_control,B_neutral,1,0.125,0.00233
setb_neu_017,neutral_control,B_neutral,2,0.1875,0.002513
setb_neu_017,neutral_control,B_neutral,3,0.25,0.001022
setb_neu_017,neutral_control,B_neutral,4,0.3125,0.001887
setb_neu_017,neutral_control,B_neutral,5,0.375,0.002074
setb_neu_017,neutral_control,B_neutral,6,0.4375,0.003168
setb_neu_017,neutral_control,B_neutral,7,0.5,0.001205
setb_neu_017,neutral_control,B_neutral,8,0.5625,0.000078
setb_neu_017,neutral_control,B_neutral,9,0.625,0.000283
setb_neu_017,neutral_control,B_neutral,10,0.6875,0.000276
setb_neu_017,neutral_control,B_neutral,11,0.75,0.000737
setb_neu_017,neutral_control,B_neutral,12,0.8125,0.001326
setb_neu_017,neutral_control,B_neutral,13,0.875,0.002077
setb_neu_017,neutral_control,B_neutral,14,0.9375,0.001781
setb_neu_017,neutral_control,B_neutral,15,1.0,0.00283
setb_neu_018,neutral_control,B_neutral,0,0.0625,0.000595
setb_neu_018,neutral_control,B_neutral,1,0.125,0.001457
setb_neu_018,neutral_control,B_neutral,2,0.1875,0.001092
setb_neu_018,neutral_control,B_neutral,3,0.25,0.001018
setb_neu_018,neutral_control,B_neutral,4,0.3125,0.000748
setb_neu_018,neutral_control,B_neutral,5,0.375,0.00026
setb_neu_018,neutral_control,B_neutral,6,0.4375,0.000102
