layer,norm_depth,model_key,act_type,condition,auroc_mean,auroc_std,acc_mean,acc_std
10,0.3438,llama8b_inst,m,B_to_A,0.7332142857142858,NaN,0.2,
11,0.375,llama8b_inst,m,A_to_B,0.7201140873015873,NaN,0.16666666666666666,
11,0.375,llama8b_inst,m,B_to_A,0.7005357142857143,NaN,0.1625,
12,0.4062,llama8b_inst,m,A_to_B,0.7672371031746031,NaN,0.16666666666666666,
12,0.4062,llama8b_inst,m,B_to_A,0.7214285714285713,NaN,0.2375,
13,0.4375,llama8b_inst,m,A_to_B,0.8909970238095237,NaN,0.4583333333333333,
13,0.4375,llama8b_inst,m,B_to_A,0.845,NaN,0.275,
14,0.4688,llama8b_inst,m,A_to_B,0.882936507936508,NaN,0.4270833333333333,
14,0.4688,llama8b_inst,m,B_to_A,0.8517857142857143,NaN,0.3875,
15,0.5,llama8b_inst,m,A_to_B,0.9246031746031745,NaN,0.5208333333333334,
15,0.5,llama8b_inst,m,B_to_A,0.8946428571428571,NaN,0.5375,
16,0.5312,llama8b_inst,m,A_to_B,0.9118303571428571,NaN,0.4895833333333333,
16,0.5312,llama8b_inst,m,B_to_A,0.8905357142857143,NaN,0.55,
17,0.5625,llama8b_inst,m,A_to_B,0.9055059523809524,NaN,0.5104166666666666,
17,0.5625,llama8b_inst,m,B_to_A,0.8989285714285714,NaN,0.475,
18,0.5938,llama8b_inst,m,A_to_B,0.8812003968253967,NaN,0.4895833333333333,
18,0.5938,llama8b_inst,m,B_to_A,0.9133928571428572,NaN,0.525,
19,0.625,llama8b_inst,m,A_to_B,0.9213789682539683,NaN,0.5416666666666666,
19,0.625,llama8b_inst,m,B_to_A,0.9628571428571429,NaN,0.625,
20,0.6562,llama8b_inst,m,A_to_B,0.9074900793650793,NaN,0.53125,
20,0.6562,llama8b_inst,m,B_to_A,0.9339285714285714,NaN,0.575,
21,0.6875,llama8b_inst,m,A_to_B,0.9203869047619048,NaN,0.5625,
21,0.6875,llama8b_inst,m,B_to_A,0.9442857142857143,NaN,0.675,
22,0.7188,llama8b_inst,m,A_to_B,0.8994295634920635,NaN,0.4895833333333333,
22,0.7188,llama8b_inst,m,B_to_A,0.9475,NaN,0.6125,
23,0.75,llama8b_inst,m,A_to_B,0.9191468253968254,NaN,0.59375,
23,0.75,llama8b_inst,m,B_to_A,0.94875,NaN,0.6625,
24,0.7812,llama8b_inst,m,A_to_B,0.8958333333333333,NaN,0.5208333333333334,
24,0.7812,llama8b_inst,m,B_to_A,0.9316071428571429,NaN,0.6375,
25,0.8125,llama8b_inst,m,A_to_B,0.890625,NaN,0.5833333333333334,
25,0.8125,llama8b_inst,m,B_to_A,0.9323214285714285,NaN,0.6,
26,0.8438,llama8b_inst,m,A_to_B,0.9177827380952381,NaN,0.5833333333333334,
26,0.8438,llama8b_inst,m,B_to_A,0.9450000000000001,NaN,0.6625,
27,0.875,llama8b_inst,m,A_to_B,0.9143105158730158,NaN,0.6041666666666666,
27,0.875,llama8b_inst,m,B_to_A,0.9564285714285714,NaN,0.6875,
28,0.9062,llama8b_inst,m,A_to_B,0.8937251984126984,NaN,0.6041666666666666,
28,0.9062,llama8b_inst,m,B_to_A,0.9519642857142858,NaN,0.7,
29,0.9375,llama8b_inst,m,A_to_B,0.9055059523809523,NaN,0.59375,
29,0.9375,llama8b_inst,m,B_to_A,0.9532142857142858,NaN,0.65,
30,0.9688,llama8b_inst,m,A_to_B,0.8999255952380952,NaN,0.5833333333333334,
30,0.9688,llama8b_inst,m,B_to_A,0.9417857142857142,NaN,0.6,
31,1.0,llama8b_inst,m,A_to_B,0.9153025793650793,NaN,0.6145833333333334,
31,1.0,llama8b_inst,m,B_to_A,0.9430357142857142,NaN,0.7,
0,0.0312,llama8b_base,h,within_A,0.8205357142857143,0.03936679943758677,0.4625,0.10897247358851683
1,0.0625,llama8b_base,h,within_A,0.8544642857142858,0.0445176816511354,0.55,0.09185586535436917
2,0.0938,llama8b_base,h,within_A,0.8607142857142858,0.02926066001459633,0.5375,0.09354143466934853
3,0.125,llama8b_base,h,within_A,0.8991071428571429,0.03061862178478972,0.5125,0.024999999999999998
4,0.1562,llama8b_base,h,within_A,0.9089285714285713,0.03815332253432411,0.55,0.10752906583803283
5,0.1875,llama8b_base,h,within_A,0.9080357142857143,0.03566961492042532,0.525,0.1159202311936963
6,0.2188,llama8b_base,h,within_A,0.91875,0.030592574462521106,0.5875,0.09354143466934853
7,0.25,llama8b_base,h,within_A,0.9053571428571429,0.05116624564962286,0.575,0.07288689868556625
